userId	geneSymbol	geneName	entrezgene	gLink
MFSD13A	MFSD13A	major facilitator superfamily domain containing 13A	79847	https://www.ncbi.nlm.nih.gov/gene/?term=79847
MGAT5B	MGAT5B	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B	146664	https://www.ncbi.nlm.nih.gov/gene/?term=146664
MGMT	MGMT	O-6-methylguanine-DNA methyltransferase	4255	https://www.ncbi.nlm.nih.gov/gene/?term=4255
MGST1	MGST1	microsomal glutathione S-transferase 1	4257	https://www.ncbi.nlm.nih.gov/gene/?term=4257
MICAL1	MICAL1	microtubule associated monooxygenase, calponin and LIM domain containing 1	64780	https://www.ncbi.nlm.nih.gov/gene/?term=64780
MICAL3	MICAL3	microtubule associated monooxygenase, calponin and LIM domain containing 3	57553	https://www.ncbi.nlm.nih.gov/gene/?term=57553
MIR100HG	MIR100HG	mir-100-let-7a-2-mir-125b-1 cluster host gene	399959	https://www.ncbi.nlm.nih.gov/gene/?term=399959
MIR125B1	MIR125B1	microRNA 125b-1	406911	https://www.ncbi.nlm.nih.gov/gene/?term=406911
MIR600HG	MIR600HG	MIR600 host gene	81571	https://www.ncbi.nlm.nih.gov/gene/?term=81571
MLKL	MLKL	mixed lineage kinase domain like pseudokinase	197259	https://www.ncbi.nlm.nih.gov/gene/?term=197259
MMP16	MMP16	matrix metallopeptidase 16	4325	https://www.ncbi.nlm.nih.gov/gene/?term=4325
MMP17	MMP17	matrix metallopeptidase 17	4326	https://www.ncbi.nlm.nih.gov/gene/?term=4326
MMP9	MMP9	matrix metallopeptidase 9	4318	https://www.ncbi.nlm.nih.gov/gene/?term=4318
MOK	MOK	MOK protein kinase	5891	https://www.ncbi.nlm.nih.gov/gene/?term=5891
MORN4	MORN4	MORN repeat containing 4	118812	https://www.ncbi.nlm.nih.gov/gene/?term=118812
MOSPD1	MOSPD1	motile sperm domain containing 1	56180	https://www.ncbi.nlm.nih.gov/gene/?term=56180
MOSPD2	MOSPD2	motile sperm domain containing 2	158747	https://www.ncbi.nlm.nih.gov/gene/?term=158747
MROH6	MROH6	maestro heat like repeat family member 6	642475	https://www.ncbi.nlm.nih.gov/gene/?term=642475
MRS2	MRS2	magnesium transporter MRS2	57380	https://www.ncbi.nlm.nih.gov/gene/?term=57380
MSI1	MSI1	musashi RNA binding protein 1	4440	https://www.ncbi.nlm.nih.gov/gene/?term=4440
MSMO1	MSMO1	methylsterol monooxygenase 1	6307	https://www.ncbi.nlm.nih.gov/gene/?term=6307
MTMR11	MTMR11	myotubularin related protein 11	10903	https://www.ncbi.nlm.nih.gov/gene/?term=10903
MUC20	MUC20	mucin 20, cell surface associated	200958	https://www.ncbi.nlm.nih.gov/gene/?term=200958
MX1	MX1	MX dynamin like GTPase 1	4599	https://www.ncbi.nlm.nih.gov/gene/?term=4599
MX2	MX2	MX dynamin like GTPase 2	4600	https://www.ncbi.nlm.nih.gov/gene/?term=4600
MYH15	MYH15	myosin heavy chain 15	22989	https://www.ncbi.nlm.nih.gov/gene/?term=22989
MYL9	MYL9	myosin light chain 9	10398	https://www.ncbi.nlm.nih.gov/gene/?term=10398
MYLIP	MYLIP	myosin regulatory light chain interacting protein	29116	https://www.ncbi.nlm.nih.gov/gene/?term=29116
MYLK4	MYLK4	myosin light chain kinase family member 4	340156	https://www.ncbi.nlm.nih.gov/gene/?term=340156
MYO5C	MYO5C	myosin VC	55930	https://www.ncbi.nlm.nih.gov/gene/?term=55930
MYRF	MYRF	myelin regulatory factor	745	https://www.ncbi.nlm.nih.gov/gene/?term=745
N6AMT1	N6AMT1	N-6 adenine-specific DNA methyltransferase 1	29104	https://www.ncbi.nlm.nih.gov/gene/?term=29104
NBPF20	NBPF20	NBPF member 20	100288142	https://www.ncbi.nlm.nih.gov/gene/?term=100288142
NCK2	NCK2	NCK adaptor protein 2	8440	https://www.ncbi.nlm.nih.gov/gene/?term=8440
NECAB3	NECAB3	N-terminal EF-hand calcium binding protein 3	63941	https://www.ncbi.nlm.nih.gov/gene/?term=63941
NEDD4	NEDD4	NEDD4 E3 ubiquitin protein ligase	4734	https://www.ncbi.nlm.nih.gov/gene/?term=4734
NEK7	NEK7	NIMA related kinase 7	140609	https://www.ncbi.nlm.nih.gov/gene/?term=140609
NELL2	NELL2	neural EGFL like 2	4753	https://www.ncbi.nlm.nih.gov/gene/?term=4753
NEU1	NEU1	neuraminidase 1	4758	https://www.ncbi.nlm.nih.gov/gene/?term=4758
NFYB	NFYB	nuclear transcription factor Y subunit beta	4801	https://www.ncbi.nlm.nih.gov/gene/?term=4801
NGFR	NGFR	nerve growth factor receptor	4804	https://www.ncbi.nlm.nih.gov/gene/?term=4804
NID2	NID2	nidogen 2	22795	https://www.ncbi.nlm.nih.gov/gene/?term=22795
NINJ1	NINJ1	ninjurin 1	4814	https://www.ncbi.nlm.nih.gov/gene/?term=4814
NKILA	NKILA	NF-kappaB interacting lncRNA	105416157	https://www.ncbi.nlm.nih.gov/gene/?term=105416157
NNT	NNT	nicotinamide nucleotide transhydrogenase	23530	https://www.ncbi.nlm.nih.gov/gene/?term=23530
NOG	NOG	noggin	9241	https://www.ncbi.nlm.nih.gov/gene/?term=9241
NR1H3	NR1H3	nuclear receptor subfamily 1 group H member 3	10062	https://www.ncbi.nlm.nih.gov/gene/?term=10062
NR2F1	NR2F1	nuclear receptor subfamily 2 group F member 1	7025	https://www.ncbi.nlm.nih.gov/gene/?term=7025
NR4A1	NR4A1	nuclear receptor subfamily 4 group A member 1	3164	https://www.ncbi.nlm.nih.gov/gene/?term=3164
NRARP	NRARP	NOTCH regulated ankyrin repeat protein	441478	https://www.ncbi.nlm.nih.gov/gene/?term=441478
NRSN2	NRSN2	neurensin 2	80023	https://www.ncbi.nlm.nih.gov/gene/?term=80023
NRXN2	NRXN2	neurexin 2	9379	https://www.ncbi.nlm.nih.gov/gene/?term=9379
NSMCE3	NSMCE3	NSE3 homolog, SMC5-SMC6 complex component	56160	https://www.ncbi.nlm.nih.gov/gene/?term=56160
NT5C2	NT5C2	5'-nucleotidase, cytosolic II	22978	https://www.ncbi.nlm.nih.gov/gene/?term=22978
NT5C3A	NT5C3A	5'-nucleotidase, cytosolic IIIA	51251	https://www.ncbi.nlm.nih.gov/gene/?term=51251
NT5E	NT5E	5'-nucleotidase ecto	4907	https://www.ncbi.nlm.nih.gov/gene/?term=4907
NUDT2	NUDT2	nudix hydrolase 2	318	https://www.ncbi.nlm.nih.gov/gene/?term=318
OAS1	OAS1	2'-5'-oligoadenylate synthetase 1	4938	https://www.ncbi.nlm.nih.gov/gene/?term=4938
OAS2	OAS2	2'-5'-oligoadenylate synthetase 2	4939	https://www.ncbi.nlm.nih.gov/gene/?term=4939
OAS3	OAS3	2'-5'-oligoadenylate synthetase 3	4940	https://www.ncbi.nlm.nih.gov/gene/?term=4940
OASL	OASL	2'-5'-oligoadenylate synthetase like	8638	https://www.ncbi.nlm.nih.gov/gene/?term=8638
OCIAD2	OCIAD2	OCIA domain containing 2	132299	https://www.ncbi.nlm.nih.gov/gene/?term=132299
ODC1	ODC1	ornithine decarboxylase 1	4953	https://www.ncbi.nlm.nih.gov/gene/?term=4953
OLFML2A	OLFML2A	olfactomedin like 2A	169611	https://www.ncbi.nlm.nih.gov/gene/?term=169611
OSBPL10	OSBPL10	oxysterol binding protein like 10	114884	https://www.ncbi.nlm.nih.gov/gene/?term=114884
OXTR	OXTR	oxytocin receptor	5021	https://www.ncbi.nlm.nih.gov/gene/?term=5021
P3H3	P3H3	prolyl 3-hydroxylase 3	10536	https://www.ncbi.nlm.nih.gov/gene/?term=10536
P3H4	P3H4	prolyl 3-hydroxylase family member 4 (inactive)	10609	https://www.ncbi.nlm.nih.gov/gene/?term=10609
PADI2	PADI2	peptidyl arginine deiminase 2	11240	https://www.ncbi.nlm.nih.gov/gene/?term=11240
PADI4	PADI4	peptidyl arginine deiminase 4	23569	https://www.ncbi.nlm.nih.gov/gene/?term=23569
PAG1	PAG1	phosphoprotein membrane anchor with glycosphingolipid microdomains 1	55824	https://www.ncbi.nlm.nih.gov/gene/?term=55824
PAPPA	PAPPA	pappalysin 1	5069	https://www.ncbi.nlm.nih.gov/gene/?term=5069
PAPPA2	PAPPA2	pappalysin 2	60676	https://www.ncbi.nlm.nih.gov/gene/?term=60676
PARD3B	PARD3B	par-3 family cell polarity regulator beta	117583	https://www.ncbi.nlm.nih.gov/gene/?term=117583
PARP14	PARP14	poly(ADP-ribose) polymerase family member 14	54625	https://www.ncbi.nlm.nih.gov/gene/?term=54625
PARP4	PARP4	poly(ADP-ribose) polymerase family member 4	143	https://www.ncbi.nlm.nih.gov/gene/?term=143
PARP9	PARP9	poly(ADP-ribose) polymerase family member 9	83666	https://www.ncbi.nlm.nih.gov/gene/?term=83666
PAX8	PAX8	paired box 8	7849	https://www.ncbi.nlm.nih.gov/gene/?term=7849
PAX8-AS1	PAX8-AS1	PAX8 antisense RNA 1	654433	https://www.ncbi.nlm.nih.gov/gene/?term=654433
PAXBP1-AS1	PAXBP1-AS1	PAXBP1 antisense RNA 1	100506215	https://www.ncbi.nlm.nih.gov/gene/?term=100506215
PCDH17	PCDH17	protocadherin 17	27253	https://www.ncbi.nlm.nih.gov/gene/?term=27253
PCDHGC3	PCDHGC3	protocadherin gamma subfamily C, 3	5098	https://www.ncbi.nlm.nih.gov/gene/?term=5098
PCYOX1L	PCYOX1L	prenylcysteine oxidase 1 like	78991	https://www.ncbi.nlm.nih.gov/gene/?term=78991
PCYT2	PCYT2	phosphate cytidylyltransferase 2, ethanolamine	5833	https://www.ncbi.nlm.nih.gov/gene/?term=5833
PDE4D	PDE4D	phosphodiesterase 4D	5144	https://www.ncbi.nlm.nih.gov/gene/?term=5144
PDE7B	PDE7B	phosphodiesterase 7B	27115	https://www.ncbi.nlm.nih.gov/gene/?term=27115
PDZK1	PDZK1	PDZ domain containing 1	5174	https://www.ncbi.nlm.nih.gov/gene/?term=5174
PECAM1	PECAM1	platelet and endothelial cell adhesion molecule 1	5175	https://www.ncbi.nlm.nih.gov/gene/?term=5175
PEX6	PEX6	peroxisomal biogenesis factor 6	5190	https://www.ncbi.nlm.nih.gov/gene/?term=5190
PGRMC2	PGRMC2	progesterone receptor membrane component 2	10424	https://www.ncbi.nlm.nih.gov/gene/?term=10424
PHACTR2	PHACTR2	phosphatase and actin regulator 2	9749	https://www.ncbi.nlm.nih.gov/gene/?term=9749
PHLDB3	PHLDB3	pleckstrin homology like domain family B member 3	653583	https://www.ncbi.nlm.nih.gov/gene/?term=653583
PIR	PIR	pirin	8544	https://www.ncbi.nlm.nih.gov/gene/?term=8544
PLA2G7	PLA2G7	phospholipase A2 group VII	7941	https://www.ncbi.nlm.nih.gov/gene/?term=7941
PLAC8	PLAC8	placenta associated 8	51316	https://www.ncbi.nlm.nih.gov/gene/?term=51316
PLAU	PLAU	plasminogen activator, urokinase	5328	https://www.ncbi.nlm.nih.gov/gene/?term=5328
PLAUR	PLAUR	plasminogen activator, urokinase receptor	5329	https://www.ncbi.nlm.nih.gov/gene/?term=5329
PLCB2	PLCB2	phospholipase C beta 2	5330	https://www.ncbi.nlm.nih.gov/gene/?term=5330
PLCD1	PLCD1	phospholipase C delta 1	5333	https://www.ncbi.nlm.nih.gov/gene/?term=5333
PLCD3	PLCD3	phospholipase C delta 3	113026	https://www.ncbi.nlm.nih.gov/gene/?term=113026
PLEKHA2	PLEKHA2	pleckstrin homology domain containing A2	59339	https://www.ncbi.nlm.nih.gov/gene/?term=59339
PLEKHB1	PLEKHB1	pleckstrin homology domain containing B1	58473	https://www.ncbi.nlm.nih.gov/gene/?term=58473
PLEKHG2	PLEKHG2	pleckstrin homology and RhoGEF domain containing G2	64857	https://www.ncbi.nlm.nih.gov/gene/?term=64857
PLEKHG5	PLEKHG5	pleckstrin homology and RhoGEF domain containing G5	57449	https://www.ncbi.nlm.nih.gov/gene/?term=57449
PLEKHS1	PLEKHS1	pleckstrin homology domain containing S1	79949	https://www.ncbi.nlm.nih.gov/gene/?term=79949
PLLP	PLLP	plasmolipin	51090	https://www.ncbi.nlm.nih.gov/gene/?term=51090
PLPP3	PLPP3	phospholipid phosphatase 3	8613	https://www.ncbi.nlm.nih.gov/gene/?term=8613
PLSCR1	PLSCR1	phospholipid scramblase 1	5359	https://www.ncbi.nlm.nih.gov/gene/?term=5359
PLSCR4	PLSCR4	phospholipid scramblase 4	57088	https://www.ncbi.nlm.nih.gov/gene/?term=57088
PLXND1	PLXND1	plexin D1	23129	https://www.ncbi.nlm.nih.gov/gene/?term=23129
PNKD	PNKD	PNKD metallo-beta-lactamase domain containing	25953	https://www.ncbi.nlm.nih.gov/gene/?term=25953
PNPLA2	PNPLA2	patatin like phospholipase domain containing 2	57104	https://www.ncbi.nlm.nih.gov/gene/?term=57104
