geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0051607	defense response to virus	http://amigo.geneontology.org/amigo/term/GO:0051607	222	39	11.7159341591719	3.3287998609542018	2.352348611402061e-11	9.501136041452924e-8	1130;2150;2537;2633;2634;2635;3428;3429;3434;3437;3569;4599;4600;4938;4939;4940;5359;6772;6773;8638;9636;10346;10475;10533;10964;11274;22978;24138;25939;29800;51251;55601;57169;64135;81622;83666;91351;91543;197259	ATG7;DDX60;DDX60L;F2RL1;GBP1;GBP2;GBP3;IFI16;IFI27;IFI44L;IFI6;IFIH1;IFIT1;IFIT3;IFIT5;IL6;ISG15;LYST;MLKL;MX1;MX2;NT5C2;NT5C3A;OAS1;OAS2;OAS3;OASL;PARP9;PLSCR1;RSAD2;SAMHD1;STAT1;STAT2;TRIM22;TRIM38;UNC93B1;USP18;ZDHHC1;ZNFX1
GO:0140546	defense response to symbiont	http://amigo.geneontology.org/amigo/term/GO:0140546	222	39	11.7159341591719	3.3287998609542018	2.352348611402061e-11	9.501136041452924e-8	1130;2150;2537;2633;2634;2635;3428;3429;3434;3437;3569;4599;4600;4938;4939;4940;5359;6772;6773;8638;9636;10346;10475;10533;10964;11274;22978;24138;25939;29800;51251;55601;57169;64135;81622;83666;91351;91543;197259	ATG7;DDX60;DDX60L;F2RL1;GBP1;GBP2;GBP3;IFI16;IFI27;IFI44L;IFI6;IFIH1;IFIT1;IFIT3;IFIT5;IL6;ISG15;LYST;MLKL;MX1;MX2;NT5C2;NT5C3A;OAS1;OAS2;OAS3;OASL;PARP9;PLSCR1;RSAD2;SAMHD1;STAT1;STAT2;TRIM22;TRIM38;UNC93B1;USP18;ZDHHC1;ZNFX1
GO:0009605	response to external stimulus	http://amigo.geneontology.org/amigo/term/GO:0009605	1737	151	91.66926862379094	1.647225970785273	7.704487209926402e-11	1.8127080969529777e-7	24;101;154;177;445;578;604;715;716;948;949;1130;1571;1649;1675;1734;1826;1890;2069;2150;2167;2309;2537;2539;2633;2634;2635;2729;2906;2934;3106;3107;3134;3164;3248;3371;3398;3428;3429;3430;3434;3437;3485;3569;3624;3689;3696;3746;3964;4016;4233;4318;4599;4600;4734;4804;4814;4907;4938;4939;4940;4953;5328;5329;5359;5452;5467;5588;5641;5734;5795;5881;6048;6352;6505;6546;6665;6772;6773;7784;7869;7941;8638;8644;8878;9037;9048;9379;9466;9636;9647;9732;10062;10162;10346;10371;10475;10500;10501;10505;10533;10538;10695;10855;10906;10964;11151;11240;11274;22978;23328;23530;23569;24138;25861;25939;27063;29800;51251;51296;51316;51435;54625;55008;55207;55601;57088;57169;57449;57556;57580;58473;63826;63982;64135;81622;83666;84419;91351;91543;115361;129607;132299;135228;140609;140885;153090;158747;161145;197259;223117	ABCA4;ADAM8;ADRB2;AGER;AKR1C3;ANKRD1;ANO3;ARL8B;ARTN;ASS1;ATG7;BAK1;BATF;BCL6;C15orf48;C1R;C1S;CCL5;CD109;CD36;CFD;CMPK2;CNPY3;CORO1A;CYP2E1;DAB2IP;DDIT3;DDX60;DDX60L;DIO2;DOCK4;DSCAM;EREG;F2RL1;FABP4;FOXO3;G6PD;GBP1;GBP2;GBP3;GBP4;GCLC;GRIN2D;GSN;HERC6;HLA-B;HLA-C;HLA-F;HPGD;HPSE;ID2;IFI16;IFI27;IFI35;IFI44L;IFI6;IFIH1;IFIT1;IFIT3;IFIT5;IGFBP2;IL27RA;IL6;INHBA;ISG15;ITGB2;ITGB8;KCNC1;LGALS8;LGMN;LOXL1;LPCAT3;LYST;MET;MLKL;MMP9;MOSPD2;MX1;MX2;NEDD4;NEK7;NGFR;NINJ1;NNT;NR1H3;NR4A1;NRXN2;NT5C2;NT5C3A;NT5E;OAS1;OAS2;OAS3;OASL;OCIAD2;ODC1;PADI2;PADI4;PARP14;PARP9;PLA2G7;PLAC8;PLAU;PLAUR;PLEKHB1;PLEKHG5;PLSCR1;PLSCR4;POU2F2;PPARD;PPM1F;PREX1;PRKCQ;PTGER4;PTPRJ;RAC3;RNF5;RSAD2;SAMHD1;SASH1;SCARA3;SCARB1;SEMA3A;SEMA3B;SEMA3D;SEMA4F;SEMA5A;SEMA6A;SEMA6B;SEMA6C;SIRPA;SLC15A3;SLC1A1;SLC8A1;SOX15;SQSTM1;SRR;STAT1;STAT2;TMEM229B;TNC;TRAFD1;TRIM22;TRIM38;TYMP;UNC93B1;USP18;WHRN;ZDHHC1;ZNFX1;ZP3
GO:0009607	response to biotic stimulus	http://amigo.geneontology.org/amigo/term/GO:0009607	975	99	51.45511623960631	1.924006925550334	8.976024248343539e-11	1.8127080969529777e-7	101;445;578;715;716;948;949;1130;1571;1649;1675;1734;2069;2150;2167;2537;2633;2634;2635;2934;3106;3107;3134;3164;3248;3428;3429;3430;3434;3437;3569;3696;3964;4016;4318;4599;4600;4734;4814;4938;4939;4940;4953;5359;5452;5734;5795;6048;6352;6608;6772;6773;8638;8878;9466;9636;10062;10346;10413;10475;10533;10538;10695;10906;10964;11151;11274;22978;23328;23569;24138;25939;27063;29800;51251;51296;51316;51435;54625;55008;55207;55601;57088;57169;63826;64135;81622;83666;84419;91351;91543;115361;129607;132299;140609;140885;153090;161145;197259	ADAM8;ANKRD1;ARL8B;ASS1;ATG7;BAK1;BATF;C15orf48;C1R;C1S;CCL5;CD36;CFD;CMPK2;CNPY3;CORO1A;CYP2E1;DAB2IP;DDIT3;DDX60;DDX60L;DIO2;EREG;F2RL1;FABP4;GBP1;GBP2;GBP3;GBP4;GSN;HERC6;HLA-B;HLA-C;HLA-F;HPGD;IFI16;IFI27;IFI35;IFI44L;IFI6;IFIH1;IFIT1;IFIT3;IFIT5;IL27RA;IL6;ISG15;ITGB8;LGALS8;LOXL1;LYST;MLKL;MMP9;MX1;MX2;NEDD4;NEK7;NINJ1;NR1H3;NR4A1;NT5C2;NT5C3A;OAS1;OAS2;OAS3;OASL;OCIAD2;ODC1;PADI4;PARP14;PARP9;PLAC8;PLSCR1;PLSCR4;POU2F2;PTGER4;PTPRJ;RNF5;RSAD2;SAMHD1;SASH1;SCARA3;SCARB1;SIRPA;SLC15A3;SMO;SQSTM1;SRR;STAT1;STAT2;TMEM229B;TRAFD1;TRIM22;TRIM38;UNC93B1;USP18;YAP1;ZDHHC1;ZNFX1
GO:0009615	response to virus	http://amigo.geneontology.org/amigo/term/GO:0009615	295	44	15.568471067368064	2.8262248623903212	3.255147031146034e-10	4.585779425415263e-7	1130;2150;2537;2633;2634;2635;3428;3429;3434;3437;3569;3696;3964;4599;4600;4938;4939;4940;4953;5359;5452;6352;6772;6773;8638;9636;10346;10475;10533;10964;11274;22978;24138;25939;29800;51251;55601;57169;64135;81622;83666;91351;91543;197259	ATG7;CCL5;DDX60;DDX60L;F2RL1;GBP1;GBP2;GBP3;IFI16;IFI27;IFI44L;IFI6;IFIH1;IFIT1;IFIT3;IFIT5;IL6;ISG15;ITGB8;LGALS8;LYST;MLKL;MX1;MX2;NT5C2;NT5C3A;OAS1;OAS2;OAS3;OASL;ODC1;PARP9;PLSCR1;POU2F2;RSAD2;SAMHD1;STAT1;STAT2;TRIM22;TRIM38;UNC93B1;USP18;ZDHHC1;ZNFX1
GO:0051707	response to other organism	http://amigo.geneontology.org/amigo/term/GO:0051707	943	95	49.76633293738334	1.9089210394410667	3.544286107506181e-10	4.585779425415263e-7	101;445;578;715;716;948;949;1130;1571;1675;1734;2069;2150;2167;2537;2633;2634;2635;2934;3106;3107;3134;3164;3248;3428;3429;3430;3434;3437;3569;3696;3964;4016;4318;4599;4600;4734;4814;4938;4939;4940;4953;5359;5452;5734;6048;6352;6772;6773;8638;8878;9466;9636;10062;10346;10475;10533;10538;10695;10906;10964;11151;11274;22978;23328;23569;24138;25939;27063;29800;51251;51296;51316;51435;54625;55008;55207;55601;57088;57169;63826;64135;81622;83666;84419;91351;91543;115361;129607;132299;140609;140885;153090;161145;197259	ADAM8;ANKRD1;ARL8B;ASS1;ATG7;BAK1;BATF;C15orf48;C1R;C1S;CCL5;CD36;CFD;CMPK2;CNPY3;CORO1A;CYP2E1;DAB2IP;DDX60;DDX60L;DIO2;EREG;F2RL1;FABP4;GBP1;GBP2;GBP3;GBP4;GSN;HERC6;HLA-B;HLA-C;HLA-F;HPGD;IFI16;IFI27;IFI35;IFI44L;IFI6;IFIH1;IFIT1;IFIT3;IFIT5;IL27RA;IL6;ISG15;ITGB8;LGALS8;LOXL1;LYST;MLKL;MMP9;MX1;MX2;NEDD4;NEK7;NINJ1;NR1H3;NR4A1;NT5C2;NT5C3A;OAS1;OAS2;OAS3;OASL;OCIAD2;ODC1;PADI4;PARP14;PARP9;PLAC8;PLSCR1;PLSCR4;POU2F2;PTGER4;RNF5;RSAD2;SAMHD1;SASH1;SCARA3;SCARB1;SIRPA;SLC15A3;SQSTM1;SRR;STAT1;STAT2;TMEM229B;TRAFD1;TRIM22;TRIM38;UNC93B1;USP18;ZDHHC1;ZNFX1
GO:0043207	response to external biotic stimulus	http://amigo.geneontology.org/amigo/term/GO:0043207	945	95	49.87188189377227	1.9048809949131493	3.973812327049621e-10	4.585779425415263e-7	101;445;578;715;716;948;949;1130;1571;1675;1734;2069;2150;2167;2537;2633;2634;2635;2934;3106;3107;3134;3164;3248;3428;3429;3430;3434;3437;3569;3696;3964;4016;4318;4599;4600;4734;4814;4938;4939;4940;4953;5359;5452;5734;6048;6352;6772;6773;8638;8878;9466;9636;10062;10346;10475;10533;10538;10695;10906;10964;11151;11274;22978;23328;23569;24138;25939;27063;29800;51251;51296;51316;51435;54625;55008;55207;55601;57088;57169;63826;64135;81622;83666;84419;91351;91543;115361;129607;132299;140609;140885;153090;161145;197259	ADAM8;ANKRD1;ARL8B;ASS1;ATG7;BAK1;BATF;C15orf48;C1R;C1S;CCL5;CD36;CFD;CMPK2;CNPY3;CORO1A;CYP2E1;DAB2IP;DDX60;DDX60L;DIO2;EREG;F2RL1;FABP4;GBP1;GBP2;GBP3;GBP4;GSN;HERC6;HLA-B;HLA-C;HLA-F;HPGD;IFI16;IFI27;IFI35;IFI44L;IFI6;IFIH1;IFIT1;IFIT3;IFIT5;IL27RA;IL6;ISG15;ITGB8;LGALS8;LOXL1;LYST;MLKL;MMP9;MX1;MX2;NEDD4;NEK7;NINJ1;NR1H3;NR4A1;NT5C2;NT5C3A;OAS1;OAS2;OAS3;OASL;OCIAD2;ODC1;PADI4;PARP14;PARP9;PLAC8;PLSCR1;PLSCR4;POU2F2;PTGER4;RNF5;RSAD2;SAMHD1;SASH1;SCARA3;SCARB1;SIRPA;SLC15A3;SQSTM1;SRR;STAT1;STAT2;TMEM229B;TRAFD1;TRIM22;TRIM38;UNC93B1;USP18;ZDHHC1;ZNFX1
GO:0006955	immune response	http://amigo.geneontology.org/amigo/term/GO:0006955	1036	101	54.67435940946886	1.8473010217383208	5.662126087312519e-10	5.717331816663816e-7	101;177;214;445;604;715;716;948;966;1130;1675;2069;2150;2495;2537;2633;2634;2635;2669;2822;2934;3106;3107;3134;3428;3429;3430;3434;3437;3569;3635;3689;3696;4599;4600;4734;4814;4938;4939;4940;5144;5359;5452;5588;5678;5734;5795;5896;5909;6352;6772;6773;6890;6932;6938;7070;7462;7784;8291;8638;8878;9466;9473;9636;9846;10062;10346;10475;10538;10603;10695;10906;10964;11151;11274;23108;23149;23308;23529;23569;24138;25939;29800;51296;51435;54625;55207;55601;55824;57169;64135;79987;81622;83666;91543;115361;124976;127943;140609;140885;153090	ADAM8;AGER;ALCAM;ARL8B;ASS1;BATF;BCL6;C1R;C1S;CCL5;CD36;CD59;CFD;CLCF1;CNPY3;CORO1A;DAB2IP;DDX60;DYSF;EREG;F2RL1;FCHO1;FCRLB;FTH1;GAB2;GBP1;GBP2;GBP3;GBP4;GEM;GPLD1;GSN;HLA-B;HLA-C;HLA-F;ICOSLG;IFI16;IFI27;IFI35;IFI44L;IFI6;IFIH1;IFIT1;IFIT3;IFIT5;IL27RA;IL6;INPP5D;ISG15;ITGB2;ITGB8;LAT2;LYST;MX1;MX2;NEDD4;NEK7;NINJ1;NR1H3;OAS1;OAS2;OAS3;OASL;PADI4;PAG1;PARP14;PARP9;PDE4D;PLSCR1;POU2F2;PRKCQ;PSG9;PTGER4;PTPRJ;RAG1;RAP1GAP;RAP1GAP2;RSAD2;SAMHD1;SCARA3;SH2B2;SIRPA;SLC15A3;SPNS2;SQSTM1;STAT1;STAT2;SVEP1;TAP1;TCF12;TCF7;THEMIS2;THY1;TRAFD1;TRIM22;TRIM38;UNC93B1;USP18;ZDHHC1;ZNFX1;ZP3
GO:0006952	defense response	http://amigo.geneontology.org/amigo/term/GO:0006952	1079	102	56.943661971830984	1.7912441256492704	2.521514451174641e-9	2.2631993040654166e-6	101;143;177;445;604;715;716;948;960;1130;1675;1903;2069;2150;2167;2537;2633;2634;2635;2934;3106;3107;3134;3164;3371;3428;3429;3430;3434;3437;3569;3624;3689;3959;3964;4318;4599;4600;4734;4814;4907;4938;4939;4940;5265;5359;5467;5588;5678;5734;5896;6352;6505;6608;6772;6773;6890;7784;7941;8638;8878;9466;9473;9636;9734;10062;10162;10346;10475;10533;10538;10551;10695;10906;10964;11151;11274;22978;23308;23569;24138;25939;29800;51251;51296;51316;51435;54625;55207;55601;57169;64135;81622;83666;84632;91351;91543;115361;140609;140885;153090;197259	ADAM8;AFAP1L2;AGER;AGR2;ARL8B;ASS1;ATG7;BATF;BCL6;C1R;C1S;CCL5;CD36;CD44;CFD;CNPY3;CORO1A;DAB2IP;DDX60;DDX60L;EREG;F2RL1;FABP4;GBP1;GBP2;GBP3;GBP4;GSN;HDAC9;HLA-B;HLA-C;HLA-F;ICOSLG;IFI16;IFI27;IFI35;IFI44L;IFI6;IFIH1;IFIT1;IFIT3;IFIT5;IL27RA;IL6;INHBA;ISG15;ITGB2;LGALS3BP;LGALS8;LPCAT3;LYST;MLKL;MMP9;MX1;MX2;NEDD4;NEK7;NINJ1;NR1H3;NR4A1;NT5C2;NT5C3A;NT5E;OAS1;OAS2;OAS3;OASL;PADI4;PARP14;PARP4;PARP9;PLA2G7;PLAC8;PLSCR1;PPARD;PRKCQ;PSG9;PTGER4;RAG1;RSAD2;S1PR3;SAMHD1;SCARA3;SERPINA1;SIRPA;SLC15A3;SLC1A1;SMO;SQSTM1;STAT1;STAT2;TAP1;THEMIS2;TNC;TRAFD1;TRIM22;TRIM38;UNC93B1;USP18;ZDHHC1;ZNFX1;ZP3
GO:0007166	cell surface receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0007166	1937	156	102.22416426268454	1.526057964133883	9.773190558425464e-9	7.894783333096089e-6	154;177;480;578;604;948;949;960;966;1288;1649;1742;1826;1903;1958;2069;2150;2261;2264;2309;2537;2633;2669;2674;2729;2737;2822;2888;2906;3092;3248;3429;3430;3485;3486;3487;3488;3569;3624;3635;3689;3693;3696;4036;4061;4233;4318;4599;4734;4804;4814;4938;4939;4940;5021;5069;5144;5175;5328;5329;5359;5567;5588;5641;5678;5795;5881;6352;6505;6608;6772;6773;6932;7070;7462;7476;7869;8322;8425;8440;8607;8613;8638;8718;8835;8878;8904;8936;9001;9037;9096;9241;9466;9473;9636;9846;10062;10326;10371;10413;10461;10500;10501;10505;10551;10603;10636;11151;11240;11274;23129;23149;23213;23308;23328;23432;23462;23529;25876;25939;27122;50515;51466;54625;54756;55625;57556;60676;64135;64750;64798;79659;79674;79987;81848;83666;84632;90249;90993;92737;127943;132299;135228;147495;153090;154810;197259;200958;203100;219699;221322;221914;223117;284217;340706;441478	ADRB2;AFAP1L2;AGER;AGR2;AMOTL1;APCDD1;ATP1A4;BAK1;BCL6;CCL5;CD109;CD36;CD44;CD59;CHST11;CLCF1;COL4A6;CORO1A;CPNE1;CREB3L1;DAB2IP;DDIT3;DEPTOR;DKK3;DLG4;DNER;DSCAM;DYNC2H1;EGR1;EREG;EVL;F2RL1;FCHO1;FCRLB;FGFR3;FGFR4;FOXO3;FZD4;GAB2;GBP1;GCLC;GEM;GFRA1;GLI3;GPC2;GPLD1;GPR161;GRB14;GRIN2D;HAP1;HEY1;HIP1;HPGD;HTRA4;ICOSLG;IFI27;IFI35;IFI6;IFIH1;IGFBP2;IGFBP3;IGFBP4;IGFBP5;IL17RD;IL27RA;IL6;INHBA;INPP5D;ISG15;ITGB2;ITGB5;ITGB8;LAMA1;LAT2;LGMN;LRP2;LTBP4;LY6E;MERTK;MET;MLKL;MMP9;MUC20;MX1;NCK2;NEDD4;NGFR;NINJ1;NOG;NR1H3;NRARP;OAS1;OAS2;OAS3;OASL;OCIAD2;OXTR;PADI2;PAPPA;PAPPA2;PARP14;PARP9;PDE4D;PECAM1;PLAU;PLAUR;PLPP3;PLSCR1;PLXND1;PRKACB;PRKCQ;PSG9;PTPRJ;RAC3;RGS14;RUVBL1;S1PR3;SAMHD1;SASH1;SCARB1;SEMA3A;SEMA3B;SEMA3D;SEMA4F;SEMA5A;SEMA6A;SEMA6B;SEMA6C;SH2B2;SIRPB1;SLC1A1;SMO;SMURF2;SOCS2;SPEF1;SPRY4;SQSTM1;STAT1;STAT2;SULF1;SVEP1;TBC1D32;TBX18;TCF7;THEMIS2;THY1;TNFRSF25;UNC5A;UNC5B;USP18;VEPH1;VWA2;WASF1;WNT7A;YAP1;ZDHHC7
