userId	geneSymbol	geneName	entrezgene	gLink
DRAIC	DRAIC	downregulated RNA in cancer, inhibitor of cell invasion and migration	145837	https://www.ncbi.nlm.nih.gov/gene/?term=145837
DRAM1	DRAM1	DNA damage regulated autophagy modulator 1	55332	https://www.ncbi.nlm.nih.gov/gene/?term=55332
DSCAM	DSCAM	DS cell adhesion molecule	1826	https://www.ncbi.nlm.nih.gov/gene/?term=1826
DSG3	DSG3	desmoglein 3	1830	https://www.ncbi.nlm.nih.gov/gene/?term=1830
DSP	DSP	desmoplakin	1832	https://www.ncbi.nlm.nih.gov/gene/?term=1832
DTNA	DTNA	dystrobrevin alpha	1837	https://www.ncbi.nlm.nih.gov/gene/?term=1837
DTNB	DTNB	dystrobrevin beta	1838	https://www.ncbi.nlm.nih.gov/gene/?term=1838
DTNBP1	DTNBP1	dystrobrevin binding protein 1	84062	https://www.ncbi.nlm.nih.gov/gene/?term=84062
DTX3L	DTX3L	deltex E3 ubiquitin ligase 3L	151636	https://www.ncbi.nlm.nih.gov/gene/?term=151636
DTX4	DTX4	deltex E3 ubiquitin ligase 4	23220	https://www.ncbi.nlm.nih.gov/gene/?term=23220
DUBR	DUBR	DPPA2 upstream binding RNA	344595	https://www.ncbi.nlm.nih.gov/gene/?term=344595
DUOX1	DUOX1	dual oxidase 1	53905	https://www.ncbi.nlm.nih.gov/gene/?term=53905
DUOX2	DUOX2	dual oxidase 2	50506	https://www.ncbi.nlm.nih.gov/gene/?term=50506
DUOXA1	DUOXA1	dual oxidase maturation factor 1	90527	https://www.ncbi.nlm.nih.gov/gene/?term=90527
DUSP18	DUSP18	dual specificity phosphatase 18	150290	https://www.ncbi.nlm.nih.gov/gene/?term=150290
DUSP4	DUSP4	dual specificity phosphatase 4	1846	https://www.ncbi.nlm.nih.gov/gene/?term=1846
DUSP5	DUSP5	dual specificity phosphatase 5	1847	https://www.ncbi.nlm.nih.gov/gene/?term=1847
DUSP6	DUSP6	dual specificity phosphatase 6	1848	https://www.ncbi.nlm.nih.gov/gene/?term=1848
DUSP7	DUSP7	dual specificity phosphatase 7	1849	https://www.ncbi.nlm.nih.gov/gene/?term=1849
DUXAP8	DUXAP8	double homeobox A pseudogene 8	503637	https://www.ncbi.nlm.nih.gov/gene/?term=503637
DUXAP9	DUXAP9	double homeobox A pseudogene 9	503638	https://www.ncbi.nlm.nih.gov/gene/?term=503638
DXO	DXO	decapping exoribonuclease	1797	https://www.ncbi.nlm.nih.gov/gene/?term=1797
DYNC1I1	DYNC1I1	dynein cytoplasmic 1 intermediate chain 1	1780	https://www.ncbi.nlm.nih.gov/gene/?term=1780
DYNC2H1	DYNC2H1	dynein cytoplasmic 2 heavy chain 1	79659	https://www.ncbi.nlm.nih.gov/gene/?term=79659
DYNC2LI1	DYNC2LI1	dynein cytoplasmic 2 light intermediate chain 1	51626	https://www.ncbi.nlm.nih.gov/gene/?term=51626
DYRK4	DYRK4	dual specificity tyrosine phosphorylation regulated kinase 4	8798	https://www.ncbi.nlm.nih.gov/gene/?term=8798
DYSF	DYSF	dysferlin	8291	https://www.ncbi.nlm.nih.gov/gene/?term=8291
DZANK1	DZANK1	double zinc ribbon and ankyrin repeat domains 1	55184	https://www.ncbi.nlm.nih.gov/gene/?term=55184
E2F1	E2F1	E2F transcription factor 1	1869	https://www.ncbi.nlm.nih.gov/gene/?term=1869
E2F8	E2F8	E2F transcription factor 8	79733	https://www.ncbi.nlm.nih.gov/gene/?term=79733
EBP	EBP	EBP cholestenol delta-isomerase	10682	https://www.ncbi.nlm.nih.gov/gene/?term=10682
EBPL	EBPL	EBP like	84650	https://www.ncbi.nlm.nih.gov/gene/?term=84650
ECHDC3	ECHDC3	enoyl-CoA hydratase domain containing 3	79746	https://www.ncbi.nlm.nih.gov/gene/?term=79746
ECM2	ECM2	extracellular matrix protein 2	1842	https://www.ncbi.nlm.nih.gov/gene/?term=1842
EDIL3	EDIL3	EGF like repeats and discoidin domains 3	10085	https://www.ncbi.nlm.nih.gov/gene/?term=10085
EDN1	EDN1	endothelin 1	1906	https://www.ncbi.nlm.nih.gov/gene/?term=1906
EDN2	EDN2	endothelin 2	1907	https://www.ncbi.nlm.nih.gov/gene/?term=1907
EDNRB	EDNRB	endothelin receptor type B	1910	https://www.ncbi.nlm.nih.gov/gene/?term=1910
EEF1A2	EEF1A2	eukaryotic translation elongation factor 1 alpha 2	1917	https://www.ncbi.nlm.nih.gov/gene/?term=1917
EEF1B2	EEF1B2	eukaryotic translation elongation factor 1 beta 2	1933	https://www.ncbi.nlm.nih.gov/gene/?term=1933
EEF1B2P2	EEF1B2P2	eukaryotic translation elongation factor 1 beta 2 pseudogene 2	1934	https://www.ncbi.nlm.nih.gov/gene/?term=1934
EEF1DP5	EEF1DP5	eukaryotic translation elongation factor 1 delta pseudogene 5	442258	https://www.ncbi.nlm.nih.gov/gene/?term=442258
EEF1E1	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1	9521	https://www.ncbi.nlm.nih.gov/gene/?term=9521
EEFSEC	EEFSEC	eukaryotic elongation factor, selenocysteine-tRNA specific	60678	https://www.ncbi.nlm.nih.gov/gene/?term=60678
EFHD1	EFHD1	EF-hand domain family member D1	80303	https://www.ncbi.nlm.nih.gov/gene/?term=80303
EFNA2	EFNA2	ephrin A2	1943	https://www.ncbi.nlm.nih.gov/gene/?term=1943
EFNA5	EFNA5	ephrin A5	1946	https://www.ncbi.nlm.nih.gov/gene/?term=1946
EFNB1	EFNB1	ephrin B1	1947	https://www.ncbi.nlm.nih.gov/gene/?term=1947
EFNB2	EFNB2	ephrin B2	1948	https://www.ncbi.nlm.nih.gov/gene/?term=1948
EFNB3	EFNB3	ephrin B3	1949	https://www.ncbi.nlm.nih.gov/gene/?term=1949
EFS	EFS	embryonal Fyn-associated substrate	10278	https://www.ncbi.nlm.nih.gov/gene/?term=10278
EGFL7	EGFL7	EGF like domain multiple 7	51162	https://www.ncbi.nlm.nih.gov/gene/?term=51162
EGFR	EGFR	epidermal growth factor receptor	1956	https://www.ncbi.nlm.nih.gov/gene/?term=1956
EGLN3	EGLN3	egl-9 family hypoxia inducible factor 3	112399	https://www.ncbi.nlm.nih.gov/gene/?term=112399
EGR1	EGR1	early growth response 1	1958	https://www.ncbi.nlm.nih.gov/gene/?term=1958
EGR3	EGR3	early growth response 3	1960	https://www.ncbi.nlm.nih.gov/gene/?term=1960
EHD2	EHD2	EH domain containing 2	30846	https://www.ncbi.nlm.nih.gov/gene/?term=30846
EHD3	EHD3	EH domain containing 3	30845	https://www.ncbi.nlm.nih.gov/gene/?term=30845
EHD4	EHD4	EH domain containing 4	30844	https://www.ncbi.nlm.nih.gov/gene/?term=30844
EHF	EHF	ETS homologous factor	26298	https://www.ncbi.nlm.nih.gov/gene/?term=26298
EHMT2	EHMT2	euchromatic histone lysine methyltransferase 2	10919	https://www.ncbi.nlm.nih.gov/gene/?term=10919
EI24	EI24	EI24 autophagy associated transmembrane protein	9538	https://www.ncbi.nlm.nih.gov/gene/?term=9538
