NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
KEGG_CARDIAC_MUSCLE_CONTRACTION	79	53		
KEGG_CELL_ADHESION_MOLECULES_CAMS	133	72		
KEGG_CELL_CYCLE	125	121		
KEGG_CHEMOKINE_SIGNALING_PATHWAY	188	117		
KEGG_CHRONIC_MYELOID_LEUKEMIA	73	69		
KEGG_CIRCADIAN_RHYTHM_MAMMAL	13		Rejected!	
KEGG_CITRATE_CYCLE_TCA_CYCLE	32	28		
KEGG_COLORECTAL_CANCER	62	58		
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	69	29		
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	34	25		
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	264	123		
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	55	33		
KEGG_DILATED_CARDIOMYOPATHY	90	59		
KEGG_DNA_REPLICATION	36	36		
KEGG_DORSO_VENTRAL_AXIS_FORMATION	24	20		
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	72	28		
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	51	24		
KEGG_ECM_RECEPTOR_INTERACTION	84	62		
KEGG_ENDOCYTOSIS	181	163		
KEGG_ENDOMETRIAL_CANCER	52	47		
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	68	60		
KEGG_ERBB_SIGNALING_PATHWAY	87	80		
KEGG_ETHER_LIPID_METABOLISM	33	21		
KEGG_FATTY_ACID_METABOLISM	42	32		
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	79	54		
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	96	80		
KEGG_FOCAL_ADHESION	199	166		
KEGG_FOLATE_BIOSYNTHESIS	11		Rejected!	
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	34	27		
KEGG_GALACTOSE_METABOLISM	26	20		
KEGG_GAP_JUNCTION	90	67		
KEGG_GLIOMA	65	55		
KEGG_GLUTATHIONE_METABOLISM	50	38		
KEGG_GLYCEROLIPID_METABOLISM	49	38		
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	77	58		
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	31	23		
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	62	40		
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	22	19		
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	26	19		
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	15		Rejected!	
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	21	19		
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	15		Rejected!	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	14		Rejected!	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	26	20		
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	25	24		
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	16		Rejected!	
KEGG_GNRH_SIGNALING_PATHWAY	101	75		
KEGG_GRAFT_VERSUS_HOST_DISEASE	41		Rejected!	
KEGG_HEDGEHOG_SIGNALING_PATHWAY	56	45		
KEGG_HEMATOPOIETIC_CELL_LINEAGE	87	31		
KEGG_HISTIDINE_METABOLISM	29	19		
KEGG_HOMOLOGOUS_RECOMBINATION	28	26		
KEGG_HUNTINGTONS_DISEASE	183	150		
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	83	57		
KEGG_INOSITOL_PHOSPHATE_METABOLISM	54	49		
KEGG_INSULIN_SIGNALING_PATHWAY	137	114		
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	48	15		
KEGG_JAK_STAT_SIGNALING_PATHWAY	155	91		
KEGG_LEISHMANIA_INFECTION	72	44		
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	116	80		
KEGG_LIMONENE_AND_PINENE_DEGRADATION	10		Rejected!	
KEGG_LINOLEIC_ACID_METABOLISM	29		Rejected!	
KEGG_LONG_TERM_DEPRESSION	70	45		
KEGG_LONG_TERM_POTENTIATION	70	54		
KEGG_LYSINE_DEGRADATION	44	41		
KEGG_LYSOSOME	121	111		
KEGG_MAPK_SIGNALING_PATHWAY	267	213		
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	25		Rejected!	
KEGG_MELANOGENESIS	101	77		
KEGG_MELANOMA	71	48		
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	70	31		
KEGG_MISMATCH_REPAIR	23	23		
KEGG_MTOR_SIGNALING_PATHWAY	52	46		
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	137	77		
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	272	84		
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	126	113		
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	24	19		
KEGG_NITROGEN_METABOLISM	23	15		
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	62	51		
KEGG_NON_HOMOLOGOUS_END_JOINING	13		Rejected!	
KEGG_NON_SMALL_CELL_LUNG_CANCER	54	50		
KEGG_NOTCH_SIGNALING_PATHWAY	47	43		
KEGG_NUCLEOTIDE_EXCISION_REPAIR	44	43		
KEGG_N_GLYCAN_BIOSYNTHESIS	46	46		
KEGG_OLFACTORY_TRANSDUCTION	389	23		
KEGG_ONE_CARBON_POOL_BY_FOLATE	17	16		
KEGG_OOCYTE_MEIOSIS	113	94		
KEGG_OTHER_GLYCAN_DEGRADATION	16		Rejected!	
KEGG_OXIDATIVE_PHOSPHORYLATION	133	103		
KEGG_O_GLYCAN_BIOSYNTHESIS	30	21		
KEGG_P53_SIGNALING_PATHWAY	68	65		
KEGG_PANCREATIC_CANCER	70	67		
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	16		Rejected!	
KEGG_PARKINSONS_DISEASE	131	102		
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	56	46		
KEGG_PATHWAYS_IN_CANCER	325	272		
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	28		Rejected!	
KEGG_PENTOSE_PHOSPHATE_PATHWAY	27	20		
KEGG_PEROXISOME	78	68		
KEGG_PHENYLALANINE_METABOLISM	18		Rejected!	
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	76	64		
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	41	24		
KEGG_PPAR_SIGNALING_PATHWAY	69	47		
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	16		Rejected!	
KEGG_PRIMARY_IMMUNODEFICIENCY	35	17		
KEGG_PRION_DISEASES	35	24		
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	85	70		
KEGG_PROPANOATE_METABOLISM	33	27		
KEGG_PROSTATE_CANCER	89	79		
KEGG_PROTEASOME	46	40		
KEGG_PROTEIN_EXPORT	24	24		
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	23		Rejected!	
KEGG_PURINE_METABOLISM	159	127		
KEGG_PYRIMIDINE_METABOLISM	98	89		
KEGG_PYRUVATE_METABOLISM	40	32		
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	213	168		
KEGG_REGULATION_OF_AUTOPHAGY	35	19		
KEGG_RENAL_CELL_CARCINOMA	70	63		
KEGG_RENIN_ANGIOTENSIN_SYSTEM	17		Rejected!	
KEGG_RETINOL_METABOLISM	64	23		
KEGG_RIBOFLAVIN_METABOLISM	16		Rejected!	
KEGG_RIBOSOME	88	85		
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	71	51		
KEGG_RNA_DEGRADATION	59	51		
KEGG_RNA_POLYMERASE	29	28		
KEGG_SELENOAMINO_ACID_METABOLISM	26	21		
KEGG_SMALL_CELL_LUNG_CANCER	84	77		
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	38	37		
KEGG_SPHINGOLIPID_METABOLISM	39	32		
KEGG_SPLICEOSOME	127	125		
KEGG_STARCH_AND_SUCROSE_METABOLISM	52	25		
KEGG_STEROID_BIOSYNTHESIS	17	16		
KEGG_STEROID_HORMONE_BIOSYNTHESIS	55	23		
KEGG_SULFUR_METABOLISM	13		Rejected!	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	139	15		
KEGG_TASTE_TRANSDUCTION	52	27		
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	10		Rejected!	
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	15		Rejected!	
KEGG_TGF_BETA_SIGNALING_PATHWAY	86	69		
KEGG_THYROID_CANCER	29	27		
KEGG_TIGHT_JUNCTION	132	102		
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	102	73		
KEGG_TRYPTOPHAN_METABOLISM	40	25		
KEGG_TYPE_II_DIABETES_MELLITUS	47	32		
KEGG_TYPE_I_DIABETES_MELLITUS	43	15		
KEGG_TYROSINE_METABOLISM	42	24		
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	108	78		
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	135	126		
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	11		Rejected!	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	44	41		
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	115	75		
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	44	38		
KEGG_VEGF_SIGNALING_PATHWAY	76	58		
KEGG_VIBRIO_CHOLERAE_INFECTION	54	49		
KEGG_VIRAL_MYOCARDITIS	70	41		
KEGG_WNT_SIGNALING_PATHWAY	151	126		
