NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION		43	0.15161683	1.1822065	0.24760076	0.35271448	1.0	7606	tags=47%, list=31%, signal=68%	
KEGG_MELANOGENESIS	KEGG_MELANOGENESIS		87	0.108774535	1.1812532	0.24521072	0.3490971	1.0	5174	tags=32%, list=21%, signal=41%	
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM		26	0.1967799	1.1733153	0.23721881	0.35307628	1.0	4558	tags=38%, list=19%, signal=47%	
KEGG_SMALL_CELL_LUNG_CANCER	KEGG_SMALL_CELL_LUNG_CANCER		81	0.10767969	1.1187793	0.31299213	0.41840553	1.0	3084	tags=23%, list=13%, signal=27%	
KEGG_PYRIMIDINE_METABOLISM	KEGG_PYRIMIDINE_METABOLISM		90	0.09858042	1.0913322	0.3205645	0.45110446	1.0	8393	tags=44%, list=35%, signal=68%	
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS		22	0.19065313	1.0852096	0.34475806	0.45431122	1.0	9707	tags=59%, list=40%, signal=98%	
KEGG_INSULIN_SIGNALING_PATHWAY	KEGG_INSULIN_SIGNALING_PATHWAY		120	0.08682367	1.0796745	0.348	0.45567542	1.0	13259	tags=63%, list=55%, signal=139%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE		21	0.19248925	1.0456632	0.37654322	0.49956587	1.0	11499	tags=67%, list=47%, signal=127%	
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR		34	0.14630072	1.0260535	0.41199225	0.52322793	1.0	19988	tags=97%, list=82%, signal=552%	
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY		52	0.11853889	1.0107999	0.42967245	0.5401428	1.0	4591	tags=31%, list=19%, signal=38%	
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE		122	0.07631489	0.996073	0.43004116	0.5553233	1.0	14652	tags=68%, list=60%, signal=171%	
KEGG_HOMOLOGOUS_RECOMBINATION	KEGG_HOMOLOGOUS_RECOMBINATION		26	0.15753382	0.96921194	0.46780303	0.58975416	1.0	4576	tags=35%, list=19%, signal=43%	
