NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_GLIOMA	KEGG_GLIOMA		62	-0.10701376	-0.9868662	0.44306418	0.62953746	1.0	7189	tags=40%, list=30%, signal=57%	
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM		46	-0.12229181	-0.9840989	0.45808968	0.6212721	1.0	11799	tags=61%, list=49%, signal=118%	
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER		42	-0.12329168	-0.9549326	0.50097466	0.65877086	1.0	1635	tags=19%, list=7%, signal=20%	
KEGG_NOTCH_SIGNALING_PATHWAY	KEGG_NOTCH_SIGNALING_PATHWAY		44	-0.12256195	-0.9434383	0.5140562	0.66531944	1.0	2545	tags=23%, list=10%, signal=25%	
KEGG_DILATED_CARDIOMYOPATHY	KEGG_DILATED_CARDIOMYOPATHY		66	-0.09936031	-0.9222209	0.5463917	0.6887172	1.0	5680	tags=33%, list=23%, signal=43%	
KEGG_NITROGEN_METABOLISM	KEGG_NITROGEN_METABOLISM		16	-0.18515766	-0.9196556	0.52577317	0.6795463	1.0	7637	tags=50%, list=32%, signal=73%	
KEGG_RENAL_CELL_CARCINOMA	KEGG_RENAL_CELL_CARCINOMA		65	-0.09353696	-0.8959345	0.57915056	0.7076367	1.0	6691	tags=37%, list=28%, signal=51%	
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM		63	-0.09388384	-0.887152	0.6152263	0.70916736	1.0	3888	tags=25%, list=16%, signal=30%	
KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_HEMATOPOIETIC_CELL_LINEAGE		49	-0.10591578	-0.8607645	0.6501035	0.74070716	1.0	4860	tags=31%, list=20%, signal=38%	
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION		86	-0.080403835	-0.84952587	0.6546906	0.7466715	1.0	5952	tags=33%, list=25%, signal=43%	
KEGG_TIGHT_JUNCTION	KEGG_TIGHT_JUNCTION		112	-0.06899402	-0.84177566	0.6653144	0.74700356	1.0	1583	tags=13%, list=7%, signal=14%	
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS		127	-0.06368166	-0.835682	0.6687243	0.7441071	1.0	13737	tags=63%, list=57%, signal=145%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE		23	-0.13898465	-0.814489	0.67975205	0.76409006	1.0	851	tags=17%, list=4%, signal=18%	
KEGG_DORSO_VENTRAL_AXIS_FORMATION	KEGG_DORSO_VENTRAL_AXIS_FORMATION		22	-0.13479482	-0.7533881	0.7660456	0.84334034	1.0	11062	tags=59%, list=46%, signal=109%	
KEGG_GAP_JUNCTION	KEGG_GAP_JUNCTION		74	-0.07426451	-0.7463711	0.80626225	0.8398644	1.0	12949	tags=61%, list=53%, signal=130%	
KEGG_MELANOMA	KEGG_MELANOMA		54	-0.089149185	-0.74405384	0.7803468	0.8297431	1.0	3681	tags=24%, list=15%, signal=28%	
KEGG_ENDOMETRIAL_CANCER	KEGG_ENDOMETRIAL_CANCER		50	-0.08790279	-0.726798	0.80846775	0.8391944	1.0	7087	tags=38%, list=29%, signal=54%	
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION		74	-0.06736518	-0.6662681	0.8900415	0.8978864	1.0	13771	tags=64%, list=57%, signal=147%	
KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE		28	-0.09521448	-0.6067227	0.9364407	0.9374015	1.0	17610	tags=82%, list=73%, signal=300%	
